n,k,pytorch,pytorch_fp16,pytorch_bf16,v1.0,adaptive,v1.1,v1.2,v1.3,v1.4,v1.5
1024,2,0.049626,0.018054,0.038969,8.284824,0.077803,9.011114,4.086269,0.264876,0.051478,0.051083
1024,4,0.049626,0.018054,0.038969,3.949681,0.057751,4.22629,1.765771,0.185099,0.04672,0.052849
1024,6,0.049626,0.018054,0.038969,,0.141288,,,,,
1024,8,0.049626,0.018054,0.038969,1.795768,0.094062,1.961926,0.960482,0.190506,0.086692,0.0904
1024,10,0.049626,0.018054,0.038969,,0.162139,,,,,
1024,12,0.049626,0.018054,0.038969,,0.125038,,,,,
2048,2,0.190015,0.021898,0.070359,25.07843,0.107551,24.258603,12.310022,0.461293,0.115524,0.103796
2048,4,0.190015,0.021898,0.070359,12.72031,0.114564,11.46229,5.693849,0.267532,0.099616,0.115705
2048,6,0.190015,0.021898,0.070359,,0.327902,,,,,
2048,8,0.190015,0.021898,0.070359,4.489372,0.28633,4.810733,3.038151,0.45489,0.269551,0.283616
2048,10,0.190015,0.021898,0.070359,,0.558783,,,,,
2048,12,0.190015,0.021898,0.070359,,0.392855,,,,,
4096,2,2.062175,0.085643,0.188043,73.557592,0.209682,73.66238,36.35135,4.445324,0.256049,0.20665
4096,4,2.062175,0.085643,0.188043,33.111074,0.253526,32.955149,13.661859,0.555106,0.226766,0.241512
4096,6,2.062175,0.085643,0.188043,,0.706066,,,,,
4096,8,2.062175,0.085643,0.188043,14.965374,0.899953,14.223888,8.05703,0.598773,0.848044,0.888614
4096,10,2.062175,0.085643,0.188043,,1.868363,,,,,
4096,12,2.062175,0.085643,0.188043,,1.392665,,,,,
8192,2,7.795074,0.19292,0.582499,239.932842,0.903338,216.082837,119.900847,5.680002,0.969329,0.925959
8192,4,7.795074,0.19292,0.582499,106.156224,0.851334,106.374332,47.140312,2.379843,0.77947,0.876928
8192,6,7.795074,0.19292,0.582499,,2.148281,,,,,
8192,8,7.795074,0.19292,0.582499,45.263145,3.358608,46.260868,21.556871,2.49764,3.351753,3.42436
8192,10,7.795074,0.19292,0.582499,,7.37353,,,,,
8192,12,7.795074,0.19292,0.582499,,5.717075,,,,,
16384,2,29.637137,3.162223,4.393791,843.671083,4.048633,759.01164,419.826315,28.554149,3.785153,3.750511
16384,4,29.637137,3.162223,4.393791,381.819633,2.534705,380.712263,175.938252,12.423544,2.586503,2.376908
16384,6,29.637137,3.162223,4.393791,,5.828271,,,,,
16384,8,29.637137,3.162223,4.393791,160.92521,10.046275,162.51988,57.756071,10.061013,9.863515,10.002812
16384,10,29.637137,3.162223,4.393791,,30.386024,,,,,
16384,12,29.637137,3.162223,4.393791,,24.634458,,,,,
